brand,kategori,nama_produk,harga
Wardah,Serum,Lightening Serum Ampoule,78000
Wardah,Serum,C-Defense Serum,91500
Wardah,Serum,Renew You Anti Aging Serum,119000
Wardah,Serum,Acnederm Acne Care Serum,54000
Wardah,Serum,White Secret Serum,121000
Wardah,Serum,Crystal Secret Dark Spot Brightening Serum,115500
Wardah,Sunscreen,Wardah UV Shield Aqua Fresh Essence SPF 50+ PA++++,65000
Wardah,Sunscreen,Wardah UV Shield Essential Sunscreen Gel SPF 30,42000
Wardah,Sunscreen,Wardah Everyday Sunscreen Gel SPF 30,40500
Wardah,Sunscreen,Wardah UV Shield Active Protection Serum SPF 50,84500
Wardah,Sunscreen,UV SHIELD TONE UP SUNSCREEN SERUM SPF 50 PA+++,76000
Wardah,Face Makeup,Wardah Exclusive Liquid Foundation,94500
Wardah,Face Makeup,Wardah Everyday BB Cream,39500
Wardah,Face Makeup,Wardah Lightening BB Cream,38500
Wardah,Powder & Palette,Wardah Lightening Two Way Cake,62500
Wardah,Powder & Palette,Wardah Everyday Luminous Face Powder,45000
Wardah,Powder & Palette,Wardah Exclusive Loose Powder,60500
Wardah,Lip Makeup,Wardah Long Lasting Lipstick,54000
Wardah,Lip Makeup,Wardah Lip Tint,42000
Wardah,Lip Makeup,Wardah Exclusive Matte Lip Cream,68000
Wardah,Lip Makeup,wardah glasting liquid lip,93500
Wardah,Eye Makeup,Wardah EyeXpert Staylast Liquid Eyeliner,51500
Wardah,Eye Makeup,Wardah EyeXpert The Volume Expert Mascara,83500
Wardah,Eye Makeup,Wardah Eyebrow Pencil,40500
Wardah,Cleanser,Lightening Whip Facial Foam,44000
Wardah,Cleanser,Perfect Bright Creamy Foam,31000
Wardah,Cleanser,Acnederm Pure Foaming Cleanser,35000
Wardah,Cleanser,Renew You Anti Aging Facial Wash,40500
Wardah,Cleanser,White Secret Facial Wash,39500
Wardah,Cleanser,Nature Daily Aloe Hydramild Facial Wash,32000
Wardah,Toner & Essence,Acnederm Pore Refining Toner,36500
